N	β	hx	hz	ED E/N	ED M/N	ε	±	ϴ	±
2.0	0.2	0.0	0.0	-0.37994896225522484	0.18997448112761242	0.0020260377447751665	0.0020752468301444	0.18950048112761242	0.0008304459434331
2.0	0.2	0.0	0.5	-0.45692646559015015	0.19420833470383345	0.0010135344098498589	0.0021782798721246	0.05689633470383346	0.0008211748224246
2.0	0.2	0.0	1.0	-0.6811910765048115	0.20639795355599777	0.00029392349518841954	0.0024439827470395	-0.06313004644400222	0.0007966211720895
2.0	0.2	0.0	1.5	-1.0344523155242873	0.22514646249309028	0.0016201844757126604	0.0027944807807295	-0.16516053750690973	0.0007571433279221
2.0	0.2	0.0	2.0	-1.4911415722144898	0.24852359536908164	0.0009909277855100207	0.0031590452405767	-0.24883640463091838	0.0007080646381197
2.0	0.2	0.5	0.0	-0.4249622606863708	0.18880301400602217	0.0006577393136293352	0.0023997017260836	0.18793001400602216	0.0008297631748746
2.0	0.2	0.5	0.5	-0.5013669663717024	0.19301964200871685	-0.003286966371702338	0.0024864372093359	0.05871164200871684	0.000821738423338
2.0	0.2	0.5	1.0	-0.7240034774070615	0.20516227187020886	-0.0041359774070616195	0.0027220239605592	-0.06192772812979114	0.0007959557559598
2.0	0.2	0.5	1.5	-1.0748207829372531	0.22384618064738993	-0.00483078293725292	0.0030341696732526	-0.1636038193526101	0.0007574569764951
2.0	0.2	0.5	2.0	-1.5285627183900636	0.24715616462136325	-0.0002427183900637342	0.0033728532956148	-0.24796283537863673	0.0007081643010882
2.0	0.2	1.0	0.0	-0.5585264840423082	0.18536457554274938	0.0007085159576919464	0.002759521938622	0.18606357554274938	0.0008278002154217
2.0	0.2	1.0	0.5	-0.6332533874330945	0.18952991869553104	-0.0027583874330946445	0.0028299212115232	0.055374918695531045	0.0008192985458458
2.0	0.2	1.0	1.0	-0.8511182464515439	0.20153244814768273	0.004211753548456043	0.0030343841712261	-0.06381755185231724	0.0007950798762716
2.0	0.2	1.0	1.5	-1.1947651048856491	0.22002315321812127	0.002154895114350852	0.00331015120058	-0.16373884678187872	0.0007569341452896
2.0	0.2	1.0	2.0	-1.639846871370497	0.24313124238007636	-0.00502437137049716	0.003605212842684	-0.24667875761992367	0.0007090505388565
2.0	0.2	1.5	0.0	-0.7763472012534502	0.1798764209583847	-0.007482201253450338	0.0031237947867728	0.17939442095838468	0.0008242926950631
2.0	0.2	1.5	0.5	-0.8484071037963892	0.18395764305126291	-0.002177103796389357	0.0031952805036362	0.05160064305126291	0.0008158230752549
2.0	0.2	1.5	1.0	-1.058678590395445	0.19572973705866553	-0.004643590395445152	0.0033592051147606	-0.06272326294133446	0.0007928314293547
2.0	0.2	1.5	1.5	-1.3908906907948626	0.21390080263643774	-0.006175690794862687	0.0035967870809449	-0.1630111973635623	0.0007556533036174
2.0	0.2	1.5	2.0	-1.8221221143072432	0.23667153038279753	-0.005682114307243191	0.0038565736865203	-0.24448846961720244	0.0007103249671535
2.0	0.2	2.0	0.0	-1.0716896741121866	0.1726676814326933	-0.0025296741121865196	0.0035029111699823	0.17304968143269328	0.00082013323716
2.0	0.2	2.0	0.5	-1.1402679136237266	0.17663410678265018	-0.001402913623726576	0.0035612756414604	0.046811106782650186	0.0008123950077743
2.0	0.2	2.0	1.0	-1.3406106813282075	0.1880905349078938	0.0009918186717920996	0.0036984753832781	-0.06567046509210622	0.0007902638669432
2.0	0.2	2.0	1.5	-1.6578258745076873	0.205820206427574	-0.0013033745076869163	0.0038984525333683	-0.16171779357242597	0.0007553650701034
2.0	0.2	2.0	2.0	-2.070816575679362	0.22811872696283098	0.0013084243206376023	0.0041187804564856	-0.24330527303716903	0.0007111187790474
2.0	0.4	0.0	0.0	-0.6640367702678489	0.33201838513392445	0.0010057297321510728	0.0016239925293995	0.33139538513392447	0.0009123844827245
2.0	0.4	0.0	0.5	-0.8453455304643333	0.342633348638003	-0.002144280464333348	0.0017676002698317	0.023323348638003005	0.0008605358007787
2.0	0.4	0.0	1.0	-1.3146255094699226	0.3688414271538768	0.0032782405300775252	0.0020506843000672	-0.2090675728461232	0.0007313854815648
2.0	0.4	0.0	1.5	-1.9243979376732692	0.39968134515999343	-0.000157937673268993	0.0022892092057911	-0.35086665484000656	0.0005799655473009
2.0	0.4	0.0	2.0	-2.5641519353982267	0.4273586558997044	-0.0025806853982266453	0.0024512176162351	-0.4269813441002956	0.0004440420718506
2.0	0.4	0.5	0.0	-0.7330940868413729	0.3253592566504193	0.0022184131586271416	0.0018415805490835	0.3268952566504193	0.0009082535249744
2.0	0.4	0.5	0.5	-0.9100650010627291	0.33601912540277457	-0.0009162510627291898	0.0019620863163113	0.018568125402774582	0.0008571106096868
2.0	0.4	0.5	1.0	-1.3694375848965605	0.36243077672885016	-0.0037688348965603247	0.0022049707287557	-0.2083032232711498	0.0007321784190546
2.0	0.4	0.5	1.5	-1.9689567204337675	0.39369484718810793	0.0005070295662326085	0.0024269149634571	-0.3493721528118921	0.0005844183219713
2.0	0.4	0.5	2.0	-2.600676613027118	0.42195395216306436	0.0008596369728817166	0.0025814819855047	-0.42687004783693566	0.0004488608008058
2.0	0.4	1.0	0.0	-0.9354739262167582	0.3066955281276128	0.0014685737832416113	0.0020882913141261	0.3062305281276128	0.0008980109076167
2.0	0.4	1.0	0.5	-1.100249669324958	0.3174235531970436	0.0022328306750418747	0.0021849122376048	0.013399553197043557	0.0008514940589729
2.0	0.4	1.0	1.0	-1.5315085504582666	0.3442687211371184	0.0003051995417333586	0.0023861433614708	-0.20523127886288156	0.000736452505164
2.0	0.4	1.0	1.5	-2.1014981643432162	0.37657984820197554	-0.0012744143432166233	0.0025777579225505	-0.34524315179802445	0.0005958614870269
2.0	0.4	1.0	2.0	-2.7097213992365083	0.4063737427853243	0.00315735076349144	0.0027163293851711	-0.4224312572146757	0.0004682686101486
2.0	0.4	1.5	0.0	-1.2568930715198956	0.2794642899826437	-0.004873071519895689	0.0023475681951067	0.2772302899826437	0.0008828701992387
2.0	0.4	1.5	0.5	-1.4038285220554525	0.29013366592585893	0.002792727944547657	0.0024235605975907	0.003817665925858915	0.0008415615582771
2.0	0.4	1.5	1.0	-1.7932447376215814	0.31722689266156306	-0.0004934876215811901	0.0025753521410794	-0.20263110733843698	0.0007394093633179
2.0	0.4	1.5	1.5	-2.3180535055851275	0.35065164965816714	-0.0014685055851275663	0.0027302141888219	-0.3386113503418328	0.0006130578216375
2.0	0.4	1.5	2.0	-2.889267111440536	0.3823888279295207	-0.0027821114405357505	0.0028515993278148	-0.4159321720704792	0.0004946542485836
2.0	0.4	2.0	0.0	-1.674853382932322	0.24799703063489725	-0.0012358829323222409	0.0026119969680729	0.24894403063489726	0.0008645813152572
2.0	0.4	2.0	0.5	-1.8012277402812824	0.25835197177292185	-0.001270240281282753	0.0026628379060505	-0.0025930282270781313	0.0008304693833335
2.0	0.4	2.0	1.0	-2.141305940766187	0.28511012107323164	0.002630309233813133	0.0027782522180539	-0.19891687892676835	0.0007422690982618
2.0	0.4	2.0	1.5	-2.6108313319690875	0.3191099939638412	-0.0013313319690877456	0.0028979625425783	-0.3275540060361588	0.0006332030259325
2.0	0.4	2.0	2.0	-3.134925148100145	0.3525406027810072	0.0013836018998554245	0.002998552855711	-0.40702439721899286	0.0005252183228233
2.0	0.6	0.0	0.0	-0.8336546070121552	0.4168273035060776	0.0007828929878447299	0.0013528092888578	0.4178103035060776	0.0009575264751264
2.0	0.6	0.0	0.5	-1.1072658592817821	0.4289146297231514	0.0009483073848848278	0.0015044226048842	-0.07124737027684858	0.0008239008754508
2.0	0.6	0.0	1.0	-1.6984558449118636	0.4522881999218504	-0.001465844911863634	0.0017020797909479	-0.3410808000781496	0.0005685094133275
2.0	0.6	0.0	1.5	-2.323193440938952	0.4716346054338006	-3.0940938951840025e-5	0.0018223262034248	-0.44808439456619936	0.0003545787455067
2.0	0.6	0.0	2.0	-2.903622522202254	0.48393708703370897	-0.0017833555355872832	0.0019032048674361	-0.48395291296629106	0.0002167417700329
2.0	0.6	0.5	0.0	-0.9085941659748575	0.4026035473173817	-0.0015158326415243284	0.0015223546612931	0.4050445473173817	0.000950003128429
2.0	0.6	0.5	0.5	-1.1720013107140392	0.41555598202455396	-0.0016304773807060968	0.0016494530153492	-0.07133001797544603	0.0008235743447186
2.0	0.6	0.5	1.0	-1.746816310708098	0.4409740072163966	-0.002147977374765242	0.0018305202453345	-0.3396779927836034	0.0005758548311031
2.0	0.6	0.5	1.5	-2.3609429978384413	0.4625148612754102	-0.0023054978384413616	0.0019387854838746	-0.44585313872458976	0.0003703264961054
2.0	0.6	0.5	2.0	-2.935385102103723	0.47663531769184286	-0.001835102103722619	0.0020126515411377	-0.48341668230815715	0.0002348024966396
2.0	0.6	1.0	0.0	-1.1312828302248614	0.36430406510545676	0.000101336441805433	0.0017147248408767	0.36600306510545677	0.0009299274047817
2.0	0.6	1.0	0.5	-1.3661273222807453	0.3791549881951032	-9.982228074534305e-5	0.0018109133848807	-0.0757800118048968	0.0008200547654058
2.0	0.6	1.0	1.0	-1.893409806859064	0.40942681684892335	0.003007693140936185	0.0019584093392214	-0.3324551831510767	0.0005993024755826
2.0	0.6	1.0	1.5	-2.475294279497549	0.43659739547644605	0.0014582205024509243	0.002058394813295	-0.441427604523554	0.0004069413532393
2.0	0.6	1.0	2.0	-3.03108728622966	0.4556236095366875	0.0018327137703399998	0.0021311769658946	-0.48001339046331254	0.0002830980119596
2.0	0.6	1.5	0.0	-1.4872549114537832	0.31283746119787337	0.00011675521288312396	0.0019230704762776	0.31281046119787337	0.0009015086311227
2.0	0.6	1.5	0.5	-1.6818649666851755	0.3291576418990501	-0.004897466685175544	0.0019877600974801	-0.07914635810094989	0.0008137521156817
2.0	0.6	1.5	1.0	-2.1377982850525017	0.364161762903613	0.0012833816141641918	0.0020985621730033	-0.319234237096387	0.0006300097650801
2.0	0.6	1.5	1.5	-2.667160844986595	0.3979724074068453	0.0020533216800715515	0.0021821564435834	-0.42906559259315474	0.0004623703713933
2.0	0.6	1.5	2.0	-3.190965854543687	0.4234880933668219	0.0026816454563127756	0.0022516473646085	-0.4726809066331781	0.0003473762284746
2.0	0.6	2.0	0.0	-1.9422139519540675	0.26012708396337936	-0.00032978528740046364	0.0021364229002384	0.25991408396337934	0.0008720537340719
2.0	0.6	2.0	0.5	-2.0945824708967713	0.2765039808135975	-0.0025516375634371258	0.0021709504856086	-0.07877201918640248	0.0008064376071127
