N	β	B	Ω	E/N	M/N
2.0	0.5	0.0	0.0	-0.23105857863000492	0.23105857863000492
2.0	0.5	0.0	1.0	-0.9224691884551877	0.30748972948506254
2.0	0.5	0.0	2.0	-2.1672436103511843	0.41092669518324826
2.0	0.5	0.0	3.0	-3.3446770606410228	0.4647474504898339
2.0	0.5	1.0	0.0	-0.6338346420212646	0.2006679429145531
2.0	0.5	1.0	1.0	-1.2282556430876677	0.27314804986561514
2.0	0.5	1.0	2.0	-2.35924122000117	0.37903260065792266
2.0	0.5	1.0	3.0	-3.478699684245231	0.4403582101248338
2.0	0.5	2.0	0.0	-1.6071962013325716	0.14243260513734984
2.0	0.5	2.0	1.0	-2.0137113701421097	0.20211626621001624
2.0	0.5	2.0	2.0	-2.8905408392785255	0.30493185215064383
2.0	0.5	2.0	3.0	-3.8620404735605285	0.37896321293045376
2.0	0.5	3.0	0.0	-2.7561247016794024	0.0963088594655484
2.0	0.5	3.0	1.0	-3.0153645829680533	0.1395599224607281
2.0	0.5	3.0	2.0	-3.648065129084519	0.2271244099451395
2.0	0.5	3.0	3.0	-4.443654715836598	0.30520019328685966
2.0	1.0	0.0	0.0	-0.3807970779778824	0.3807970779778824
2.0	1.0	0.0	1.0	-1.3958299876550313	0.46527666255167704
2.0	1.0	0.0	2.0	-2.483871006657594	0.49506859739781184
2.0	1.0	0.0	3.0	-3.4972812744687096	0.4993295286998416
2.0	1.0	1.0	0.0	-0.9176900178797924	0.25845416276251054
2.0	1.0	1.0	1.0	-1.6616747730576054	0.3741414274768745
2.0	1.0	1.0	2.0	-2.6499089956078175	0.4453176085783453
2.0	1.0	1.0	3.0	-3.6212948017489888	0.4697887460665445
2.0	1.0	2.0	0.0	-1.9805411810358697	0.1335574612825982
2.0	1.0	2.0	1.0	-2.363125313069414	0.2280486788815027
2.0	1.0	2.0	2.0	-3.117420759133749	0.33737336413551766
2.0	1.0	2.0	3.0	-3.977926814558893	0.39713952232434263
2.0	1.0	3.0	0.0	-3.022744564660971	0.08428671236062316
2.0	1.0	3.0	1.0	-3.246252742466136	0.1401864011681716
2.0	1.0	3.0	2.0	-3.7993255912342248	0.2374728202532556
2.0	1.0	3.0	3.0	-4.52532913884182	0.3135468222355857
2.0	1.5	0.0	0.0	-0.45257412682243325	0.45257412682243325
2.0	1.5	0.0	1.0	-1.4852372664140312	0.49507908880467705
2.0	1.5	0.0	2.0	-2.4992351578034704	0.4997532428124675
2.0	1.5	0.0	3.0	-3.499950755527182	0.499987711726484
2.0	1.5	1.0	0.0	-1.0218399903895252	0.2554303897357755
2.0	1.5	1.0	1.0	-1.7335353534641502	0.3898349339480176
2.0	1.5	1.0	2.0	-2.663566504127586	0.44871199777446935
2.0	1.5	1.0	3.0	-3.6236585253966016	0.4703082392208474
2.0	1.5	2.0	0.0	-2.046085136978469	0.12444818509625549
2.0	1.5	2.0	1.0	-2.3988531251283116	0.22895945711236199
2.0	1.5	2.0	2.0	-3.1258544037324922	0.3385084229146897
2.0	1.5	2.0	3.0	-3.9794958589525247	0.3973866526724894
2.0	1.5	3.0	0.0	-3.040054242583302	0.08238933540667298
2.0	1.5	3.0	1.0	-3.2571123652215563	0.13971105561828795
2.0	1.5	3.0	2.0	-3.802692641264917	0.23762811538496512
2.0	1.5	3.0	3.0	-4.526075317728261	0.3136160933068286
2.0	2.0	0.0	0.0	-0.48201379003790845	0.48201379003790845
2.0	2.0	0.0	1.0	-1.4979892478292067	0.4993297492764022
2.0	2.0	0.0	2.0	-2.4999626850479224	0.4999877117276797
2.0	2.0	0.0	3.0	-3.499999099492297	0.4999997749297012
2.0	2.0	1.0	0.0	-1.0674319553929872	0.24400289162621752
2.0	2.0	1.0	1.0	-1.7447407506555346	0.3920345357101946
2.0	2.0	1.0	2.0	-2.6642145967957918	0.4488744945952671
2.0	2.0	1.0	3.0	-3.6236989107579767	0.4703171495977282
2.0	2.0	2.0	0.0	-2.058441805464379	0.12197824447300032
2.0	2.0	2.0	1.0	-2.402708738912692	0.2289294641590113
2.0	2.0	2.0	2.0	-3.1261839892403636	0.33854866925956634
2.0	2.0	2.0	3.0	-3.979517867779986	0.3973900223893172
2.0	2.0	3.0	0.0	-3.041280996002174	0.08221515727327303
2.0	2.0	3.0	1.0	-3.257669528010875	0.13967200646543074
2.0	2.0	3.0	2.0	-3.8027735279338577	0.23763051948063943
2.0	2.0	3.0	3.0	-4.526082514776105	0.3136166973263807
2.0	2.5	0.0	0.0	-0.49330714907571516	0.49330714907571516
2.0	2.5	0.0	1.0	-1.499727637517138	0.49990921250571263
2.0	2.5	0.0	2.0	-2.499998156342594	0.49999938819573453
2.0	2.5	0.0	3.0	-3.49999998351021	0.4999999958776928
2.0	2.5	1.0	0.0	-1.0906446745833112	0.23541218189595173
2.0	2.5	1.0	1.0	-1.746591004626424	0.39236259937444123
2.0	2.5	1.0	2.0	-2.6642462816513186	0.44888236485849925
2.0	2.5	1.0	3.0	-3.623699606903542	0.47031730283615486
2.0	2.5	2.0	0.0	-2.060911179252293	0.12142002769529303
2.0	2.5	2.0	1.0	-2.403151909006743	0.22891801877183654
2.0	2.5	2.0	2.0	-3.126197473909743	0.3385501862145276
2.0	2.5	2.0	3.0	-3.979518183581757	0.39739006944634486
2.0	2.5	3.0	0.0	-3.041373492162996	0.08220074775038977
2.0	2.5	3.0	1.0	-3.2576999513733482	0.13966949165551726
2.0	2.5	3.0	2.0	-3.8027755823711376	0.23763056021520226
2.0	2.5	3.0	3.0	-4.526082587084484	0.31361670291791144
2.0	3.0	0.0	0.0	-0.49752737684336523	0.49752737684336523
2.0	3.0	0.0	1.0	-1.4999631354053917	0.49998771180179724
2.0	3.0	0.0	2.0	-2.499999908469119	0.49999996954004144
2.0	3.0	0.0	3.0	-3.4999999996979883	0.49999999992449734
2.0	3.0	1.0	0.0	-1.1031432418785303	0.23017818187006506
2.0	3.0	1.0	1.0	-1.7469104580687258	0.39241498202455016
2.0	3.0	1.0	2.0	-2.6642478552302387	0.4488827508560533
2.0	3.0	1.0	3.0	-3.623699618945306	0.47031730547918776
2.0	3.0	2.0	0.0	-2.061419079535569	0.12129998487748794
2.0	3.0	2.0	1.0	-2.4032046532573084	0.2289161889068431
2.0	3.0	2.0	2.0	-3.126198042903908	0.3385502464513982
2.0	3.0	2.0	3.0	-3.9795181881964377	0.3973900701179603
2.0	3.0	3.0	0.0	-3.041380656565746	0.082199593014376
2.0	3.0	3.0	1.0	-3.2577016621168795	0.13966934085286334
2.0	3.0	3.0	2.0	-3.802775636254327	0.2376305609893253
2.0	3.0	3.0	3.0	-4.5260825878322795	0.3136167029723409
2.0	3.5	0.0	0.0	-0.49908894880559934	0.49908894880559934
2.0	3.5	0.0	1.0	-1.4999950108401314	0.4999983369467105
2.0	3.5	0.0	2.0	-2.4999999954476984	0.4999999984834879
2.0	3.5	0.0	3.0	-3.4999999999944684	0.4999999999986171
2.0	3.5	1.0	0.0	-1.109952380599144	0.22720356044762774
2.0	3.5	1.0	1.0	-1.7469671210917688	0.3924237901076484
2.0	3.5	1.0	2.0	-2.6642479342415153	0.4488827700027308
2.0	3.5	1.0	3.0	-3.6236996191541917	0.4703173055249039
2.0	3.5	2.0	0.0	-2.0615248241764923	0.12127458048032608
2.0	3.5	2.0	1.0	-2.4032110381536897	0.2289159409417565
2.0	3.5	2.0	2.0	-3.126198067408806	0.33855024893957475
2.0	3.5	2.0	3.0	-3.9795181882648927	0.3973900701277293
2.0	3.5	3.0	0.0	-3.041381217322863	0.08219950149530873
2.0	3.5	3.0	1.0	-3.257701759534794	0.13966933204150916
2.0	3.5	3.0	2.0	-3.8027756376922035	0.2376305610058581
2.0	3.5	3.0	3.0	-4.526082587840165	0.31361670297289146
2.0	4.0	0.0	0.0	-0.4996646498695335	0.4996646498695335
2.0	4.0	0.0	1.0	-1.4999993247891796	0.4999997749297265
2.0	4.0	0.0	2.0	-2.4999999997734412	0.4999999999244973
2.0	4.0	0.0	3.0	-3.4999999999998983	0.4999999999999747
